PLAYER_ID,LEAGUE_ID,Team_ID,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
78347,00,0,312,120,5680.0,757,1647,0.459623,29,98,0.295918,487,680,0.716176,406,845,1251,285,116,109,347,741,2030
201229,00,0,730,105,14198.0,1466,3538,0.414358,865,2320,0.372844,654,848,0.771226,545,1871,2416,650,272,215,462,1171,4451
78349,00,0,80,,681.0,153,280,0.546428,,,,96,176,0.545454,85,94,179,34,36,27,1,97,402
78350,00,0,768,,25714.0,5630,11240,0.500889,34,130,,2089,2666,0.78357,1173,2783,6198,1573,374,175,332,1937,13383
78351,00,0,468,246,12608.0,2859,5718,0.5,138,403,0.342431,1602,2010,0.797014,235,774,1009,1965,369,105,1394,1341,7458
78352,00,0,112,9,1410.0,139,381,0.364829,31,91,0.340659,100,128,0.78125,22,76,98,235,48,1,114,159,409
78353,00,0,17,,,19,71,0.267605,,,,6,9,0.666666,,,,10,,,,12,44
342,00,0,60,15,523.0,58,146,0.39726,15,44,0.340909,28,37,0.756756,32,41,73,32,14,2,26,70,159
78355,00,0,121,,,297,789,0.376425,,,,282,408,0.691176,,,,113,,,,349,876
78356,00,0,23,,124.0,23,64,0.359375,1,7,0.142857,8,10,0.8,12,22,34,12,4,5,16,20,55
1631210,00,0,8,0,37.0,5,9,0.555555,1,4,0.25,2,2,1.0,3,4,7,3,0,1,1,3,13
1630167,00,0,264,43,4349.0,799,1557,0.513166,243,700,0.347142,212,278,0.762589,190,644,834,268,98,91,171,338,2053
78357,00,0,147,,,357,1451,0.246037,,,,283,367,0.771117,,,,106,,,,436,997
78358,00,0,271,,3223.0,515,1253,0.411013,,,,161,278,0.579136,,,1122,257,,,,551,1191
2351,00,0,82,13,1181.0,151,377,0.40053,44,139,0.316546,96,125,0.768,50,84,134,43,29,11,57,73,442
1629308,00,0,202,37,3127.0,332,662,0.50151,82,249,0.329317,84,130,0.646153,98,503,601,372,119,59,181,347,830
78359,00,0,203,,6339.0,634,2012,0.315109,,,,591,745,0.793288,,,608,661,,,,654,1859
78360,00,0,82,,,226,814,0.277641,,,,137,178,0.769662,,,,137,,,,141,589
1626253,00,0,33,1,414.0,34,90,0.377777,15,46,0.326086,18,24,0.75,8,30,38,19,10,10,6,52,101
78361,00,0,51,,409.0,56,138,0.405797,,,,18,25,0.72,8,26,34,87,16,0,,61,130
700,00,0,53,2,417.0,39,91,0.428571,0,1,0.0,20,36,0.555555,25,44,69,7,6,12,19,69,98
78363,00,0,128,,,425,1449,0.293305,,,,348,465,0.748387,,,,313,,,,487,1198
78364,00,0,60,0,543.0,109,248,0.439516,9,25,0.36,30,40,0.75,31,36,67,32,20,7,34,86,257
1626157,00,0,571,571,19397.0,4814,9190,0.52383,973,2442,0.398443,2499,2980,0.83859,1587,4618,6205,1805,452,720,1545,1942,13100
78365,00,0,154,0,2025.0,309,751,0.411451,6,35,,121,172,0.703488,46,111,157,217,90,10,122,201,745
78366,00,0,379,,6863.0,1417,3188,0.444479,,,,519,690,0.752173,251,577,1466,375,117,71,,1034,3353
78367,00,0,279,,4895.0,846,2014,0.420059,,,,374,516,0.724806,,,1248,283,,,,855,2066
1714,00,0,438,73,6243.0,841,1774,0.474069,4,24,0.166666,399,691,0.577424,671,969,1640,312,280,306,400,1079,2085
718,00,0,506,130,9870.0,1792,3580,0.500558,4,50,0.08,778,1210,0.642975,842,1434,2276,504,223,174,599,1096,4366
1629018,00,0,327,187,9346.0,1636,3892,0.420349,794,2049,0.387506,509,624,0.815705,125,638,763,478,387,70,233,503,4575
2244,00,0,31,0,269.0,34,101,0.336633,6,13,0.461538,14,20,0.7,17,26,43,22,19,4,25,20,88
78651,00,0,559,,12296.0,1920,4256,0.451127,,,,1278,1843,0.693434,,,3546,806,,,,1754,5118
1629019,00,0,88,4,1749.0,283,624,0.453525,71,185,0.383783,213,266,0.800751,37,189,226,147,31,18,138,146,850
78368,00,0,59,,,116,422,0.274881,,,,104,143,0.727272,,,,97,,,,112,336
78369,00,0,707,575,20959.0,4434,9380,0.472707,168,465,0.36129,3106,3660,0.848633,937,1766,2703,2090,678,137,1697,1634,12142
2456,00,0,22,0,103.0,5,24,0.208333,0,0,0.0,5,12,0.416666,6,9,15,1,1,7,10,16,15
2054,00,0,315,168,5007.0,580,1184,0.489864,0,1,0.0,337,513,0.65692,436,802,1238,101,73,223,268,689,1497
78370,00,0,113,,1216.0,126,354,0.355932,,,,25,43,0.581395,85,102,208,69,42,45,,174,277
1631131,00,0,8,0,42.0,10,20,0.5,0,0,0.0,6,8,0.75,8,8,16,2,2,1,0,3,26
78371,00,0,157,,2977.0,337,1070,0.314953,,,,236,329,0.717325,,,751,165,,,,451,910
2401,00,0,172,16,1945.0,190,626,0.303514,43,183,0.234972,84,115,0.730434,109,198,307,114,46,50,126,227,507
78372,00,0,257,,5348.0,996,2198,0.453139,,,,439,625,0.7024,,,1283,230,,,,567,2431
201169,00,0,51,1,426.0,77,182,0.423076,10,34,0.294117,47,60,0.783333,29,20,49,16,5,2,19,22,211
141,00,0,62,13,982.0,96,210,0.457142,0,1,0.0,51,83,0.614457,44,126,170,68,46,11,56,129,243
78374,00,0,99,,1301.0,157,450,0.348888,,,,93,122,0.762295,,,349,52,,,,242,407
200782,00,0,870,659,24720.0,2116,4981,0.424814,869,2379,0.365279,721,961,0.75026,1289,3444,4733,1217,935,258,812,2128,5822
1629730,00,0,39,0,300.0,35,70,0.5,9,29,0.310344,38,49,0.77551,7,32,39,21,7,1,13,23,117
78375,00,0,756,207,15671.0,2594,5632,0.460582,575,1410,0.407801,473,627,0.754385,512,1008,1520,1532,679,88,593,1594,6236
101142,00,0,473,105,8019.0,856,1607,0.532669,0,7,0.0,497,782,0.635549,520,1237,1757,618,181,593,358,1116,2209
1726,00,0,17,0,90.0,14,38,0.368421,0,6,0.0,5,8,0.625,13,20,33,5,3,1,8,14,33
2045,00,0,997,571,26707.0,3851,9034,0.426278,1246,3246,0.383857,2074,2645,0.78412,647,3324,3971,2832,750,299,1578,2403,11022
78377,00,0,170,4,2523.0,307,727,0.422283,14,59,0.237288,139,182,0.763736,62,201,263,535,137,3,212,205,767
78385,00,0,294,,4060.0,603,1481,0.407157,,,,391,537,0.728119,,,1039,167,,,,605,1597
78378,00,0,505,97,9006.0,1049,2429,0.431864,7,46,0.152173,292,409,0.713936,556,819,1375,914,442,28,455,910,2397
202323,00,0,705,295,18939.0,2748,6331,0.434054,270,917,0.294438,1058,1353,0.781966,388,2890,3278,2462,532,184,1267,1380,6824
78379,00,0,66,1,464.0,81,179,0.452513,2,8,0.25,60,100,0.6,39,39,78,29,25,8,38,60,224
78380,00,0,65,,922.0,111,308,0.360389,,,,60,76,0.789473,,,154,77,,,,76,282
78382,00,0,42,,567.0,84,221,0.38009,,,,32,42,0.761904,,,85,44,,,,51,200
78381,00,0,612,235,11244.0,1543,3304,0.467009,73,212,0.344339,538,700,0.768571,621,1415,2036,635,215,85,687,1758,3697
1819,00,0,42,0,345.0,43,98,0.438775,0,0,0.0,31,59,0.525423,38,40,78,12,6,4,32,40,117
1626167,00,0,552,519,15817.0,2838,5667,0.500794,564,1611,0.350093,1376,1779,0.773468,799,2964,3763,677,380,1225,764,1651,7616
1943,00,0,3,0,41.0,1,6,0.166666,0,0,0.0,2,6,0.333333,1,2,3,5,0,0,3,4,4
78386,00,0,361,127,6871.0,1297,2513,0.516116,1,9,0.111111,476,613,0.776508,575,1080,1655,183,155,348,431,853,3071
78387,00,0,280,,6921.0,891,1614,0.552044,4,7,,880,1069,0.823199,202,409,611,940,396,24,416,748,2666
78388,00,0,823,,26147.0,6237,13873,0.449578,,,,3366,4325,0.778265,,,5424,1861,,,,2782,15840
189,00,0,55,8,809.0,72,189,0.380952,16,51,0.313725,35,50,0.7,13,49,62,174,36,2,97,58,195
202719,00,0,104,23,1034.0,157,349,0.449856,0,1,0.0,59,106,0.556603,98,171,269,25,23,42,68,164,373
78390,00,0,871,255,21742.0,3831,7915,0.484017,10,82,,1196,1702,0.702702,1609,3066,4675,1039,801,1342,1140,1937,8868
78391,00,0,348,,7811.0,1213,3131,0.387416,,,,665,990,0.671717,,,2567,315,,,,987,3091
1641816,00,0,10,0,30.0,2,10,0.2,1,8,0.125,0,0,0.0,1,7,8,1,0,0,2,6,5
202775,00,0,4,0,52.0,5,18,0.277777,1,5,0.2,3,3,1.0,2,8,10,1,1,1,1,1,14
202327,00,0,384,56,5694.0,519,1145,0.453275,0,4,0.0,315,439,0.717539,456,644,1100,260,177,429,222,714,1353
2137,00,0,316,80,5711.0,614,1471,0.417403,218,612,0.356209,189,268,0.705223,219,707,926,308,208,54,221,528,1635
2757,00,0,831,272,18184.0,2740,5922,0.462681,465,1334,0.348575,1007,1209,0.832919,308,1404,1712,2858,576,71,1179,1275,6952
101146,00,0,85,0,987.0,137,354,0.387005,14,74,0.189189,53,71,0.746478,27,51,78,165,31,2,66,83,341
1627755,00,0,133,58,2782.0,398,988,0.402834,63,225,0.28,139,172,0.808139,44,179,223,537,118,12,204,193,998
1630649,00,0,18,0,192.0,25,53,0.471698,17,32,0.53125,24,26,0.923076,4,27,31,9,5,6,11,28,91
78392,00,0,984,,35832.0,4369,8586,0.508851,3,6,,1883,2976,0.632728,2085,4974,13769,3822,628,367,579,2762,10624
78393,00,0,23,,268.0,33,94,0.351063,,,,20,22,0.90909,,,31,26,,,,42,86
78394,00,0,120,1,1518.0,267,589,0.45331,14,59,0.237288,101,127,0.795275,39,106,145,257,81,9,121,210,649
1627784,00,0,16,0,168.0,23,56,0.410714,6,18,0.333333,7,9,0.777777,10,18,28,9,3,4,3,10,59
202386,00,0,60,8,807.0,96,243,0.395061,3,9,0.333333,44,75,0.586666,49,79,128,130,30,11,44,60,239
202685,00,0,836,807,21669.0,4481,7977,0.56174,228,637,0.357927,2077,2631,0.789433,2339,5625,7964,1101,335,816,1386,2401,11267
78395,00,0,620,345,14395.0,1993,4560,0.437061,41,157,0.261146,1373,1744,0.78727,351,967,1318,3080,910,58,1240,1358,5400
1627756,00,0,256,45,4817.0,680,1728,0.393518,361,1004,0.359561,74,94,0.787234,101,756,857,466,159,31,228,412,1795
78396,00,0,24,,123.0,37,98,0.377551,1,2,0.5,9,19,0.473684,10,20,30,7,7,4,16,23,84
78397,00,0,100,,796.0,142,375,0.378666,,,,75,104,0.721153,,,66,84,,,,100,359
78398,00,0,921,,31771.0,5413,11661,0.464196,,,,4253,5385,0.789786,188,476,3807,3060,264,44,,2575,15079
78399,00,0,929,,28682.0,5505,12763,0.431324,,,,3222,4226,0.762423,247,794,3942,2085,230,16,,2922,14232
78401,00,0,175,,,242,794,0.304785,,,,342,511,0.669275,,,,256,,,,350,826
78400,00,0,434,0,10155.0,932,2123,0.439001,9,30,,723,888,0.814189,500,1278,1778,815,363,329,506,1225,2596
89,00,0,880,670,28982.0,4636,11458,0.404608,1528,4278,0.357176,1858,2341,0.793677,375,2170,2545,5777,726,92,1850,1380,12658
1496,00,0,575,463,18153.0,3396,7659,0.443399,597,1655,0.360725,1817,2177,0.834634,1122,2787,3909,900,472,295,1262,1736,9206
78406,00,0,746,,26171.0,3313,8003,0.413969,,,,2144,2749,0.779919,540,1269,3596,5217,767,71,249,2661,8770
1627832,00,0,472,323,14423.0,2357,5851,0.402837,1165,3119,0.373517,1122,1294,0.867078,197,1395,1592,2637,627,216,789,1009,7001
78402,00,0,174,,118.0,546,1735,0.314697,,,,345,502,0.68725,,,103,399,,,,664,1437
78403,00,0,15,0,31.0,3,14,0.214285,0,5,0.0,3,4,0.75,1,5,6,1,0,0,0,4,9
1629020,00,0,273,168,5597.0,675,1189,0.567703,40,138,0.289855,271,420,0.645238,554,1190,1744,395,291,120,266,551,1661
78405,00,0,224,,3600.0,818,1942,0.421215,,,,499,674,0.740356,,,853,548,,,,753,2135
78404,00,0,810,566,24521.0,6139,11699,0.524745,218,592,0.368243,3484,3997,0.871653,893,1892,2785,1668,468,243,1310,1560,15980
78407,00,0,68,14,842.0,88,230,0.382608,0,2,0.0,46,82,0.560975,88,152,240,59,21,28,68,128,222
2128,00,0,22,0,410.0,46,110,0.418181,0,6,0.0,30,50,0.6,15,22,37,66,23,3,37,44,122
2237,00,0,1,0,6.0,2,3,0.666666,0,0,0.0,1,1,1.0,0,1,1,0,0,0,1,3,5
2760,00,0,632,209,15087.0,1808,3550,0.509295,1,43,0.023255,957,1518,0.630434,1511,3020,4531,737,537,407,593,1633,4574
202363,00,0,37,0,398.0,39,67,0.582089,0,0,0.0,29,56,0.517857,21,51,72,16,11,31,16,72,107
202349,00,0,401,157,9519.0,1378,3297,0.417955,412,1180,0.349152,423,518,0.816602,125,896,1021,1935,236,34,753,767,3591
1630170,00,0,228,122,6008.0,1120,2537,0.441466,433,1175,0.36851,343,426,0.805164,103,748,851,549,221,97,225,346,3016
78409,00,0,326,,7049.0,1144,2757,0.414943,,,,633,869,0.728423,,,733,753,,,,712,2921
710,00,0,118,8,1155.0,137,324,0.422839,0,2,0.0,67,105,0.638095,134,227,361,36,31,48,98,216,341
1521,00,0,776,123,12672.0,1300,3028,0.429326,95,270,0.351851,768,986,0.778904,148,880,1028,1919,403,15,792,1267,3463
1626173,00,0,139,8,1671.0,161,478,0.33682,83,265,0.313207,18,26,0.692307,18,140,158,75,53,29,48,120,423
78411,00,0,17,,,15,78,0.192307,,,,15,28,0.535714,,,,10,,,,18,45
919,00,0,689,354,16989.0,3061,6074,0.503951,21,86,0.244186,841,1172,0.717576,1482,3399,4881,652,510,228,822,1624,6984
78413,00,0,21,,216.0,42,93,0.451612,,,,20,32,0.625,11,7,18,17,12,0,,22,104
78414,00,0,282,27,3220.0,432,856,0.504672,1,4,0.25,135,196,0.688775,272,369,641,152,128,67,166,622,1000
202686,00,0,162,25,2455.0,263,505,0.520792,0,2,0.0,64,157,0.407643,225,337,562,96,107,84,123,384,590
